phase,issue_name,severity,threshold_condition
1,episode_folder_name,"major（触发即fail）","episode目录名不以episode_开头"
1,checksum_manifest_missing,"critical（配置项phase1_metadata.checksum.required默认True时触发即fail）；minor（该配置为False时触发即warning）",".checksum_manifest文件不存在；是否fail由配置项phase1_metadata.checksum.required（默认True）决定"
1,checksum_manifest_invalid,"critical（触发即fail）",".checksum_manifest不是合法JSON对象，或包含不安全/无效相对路径，或checksum值不是配置项phase1_metadata.checksum.accepted_algorithms（默认['sha256','md5']）支持的32位md5或64位sha256十六进制字符串"
1,checksum_manifest_file_missing,"critical（触发即fail）",".checksum_manifest中列出的任一相对路径在episode目录下不存在"
1,checksum_manifest_path_not_file,"critical（触发即fail）",".checksum_manifest中列出的任一相对路径存在但不是普通文件"
1,checksum_manifest_file_empty,"major（触发即fail）",".checksum_manifest中列出的任一普通文件大小为0字节"
1,checksum_hash_unreadable,"critical（触发即fail）","仅当配置项phase1_metadata.checksum.verify_hashes（默认False）为True时执行；任一manifest文件无法读取以计算hash"
1,checksum_hash_mismatch,"critical（触发即fail）","仅当配置项phase1_metadata.checksum.verify_hashes（默认False）为True时执行；实际文件hash不等于manifest记录值"
1,metadata_exists,"critical（触发即fail）","metadata.json不存在"
1,metadata_valid_json,"critical（触发即fail）","metadata.json无法读取，或不是合法JSON，或顶层不是JSON对象"
1,parent_path_structure,"minor（触发即warning）","episode路径不满足len(parts)>=4且倒数第3级目录是8位数字日期且倒数第2级目录非空；期望结构为<task>/<date>/<operator>/<episode>"
1,required_metadata_field,"major（触发即fail）","task_key、episode_index缺失/为空；duration_seconds或total_frames不是正数；modalities不是非空dict；fps_actual和fps_config均不是正数；quality字段不存在"
1,task_folder_metadata_mismatch,"info（触发即pass）","metadata.task_key和从路径推断的task folder规范化后不相等；只记录标签/路径不一致，不作为失败"
1,task_device_reference_missing,"info（触发即pass）","任务参考表可用，但匹配任务的compatible_device_types未映射到single_arm、dual_arm或umi，因此跳过task_robot_mismatch"
1,robot_device_category_unknown,"info（触发即pass）","任务参考类别已知，但episode robot无法通过配置项phase1_metadata.robot_device_categories映射到single_arm、dual_arm或umi，因此跳过task_robot_mismatch"
1,task_robot_mismatch,"major（触发即fail）","任务兼容设备类别和实际robot设备类别均已知且二者不相等；类别来自任务参考和配置项phase1_metadata.robot_device_categories"
1,modality_folder_missing,"major（触发即fail）","metadata.modalities中的已知非flow modality在episode目录下没有对应目录；observation.image.flow_*被跳过"
1,required_modality_file_missing,"major（触发即fail）","已知image modality缺少video.mp4或timestamps.csv；已知CSV modality（actions、action.*、actions.*、observation.state.*）缺少data.csv"
1,required_modality_file_empty,"major（触发即fail）","已知image/CSV modality的必需文件存在但大小为0字节"
1,action_modality_singular_name,"info（配置项为pass时）；minor（配置项为warning或needs_review时）；major（配置项为fail时）","存在action.*目录且不是actions.*；状态由配置项phase1_metadata.modalities.singular_action_status（默认pass）决定"
1,unknown_modality_detected,"info（配置项为pass时）；minor（配置项为warning或needs_review时）；major（配置项为fail时）","发现以action.、actions.或observation.开头但不是已知modality且不是observation.image.flow_*的目录/metadata名称；状态由配置项phase1_metadata.modalities.unknown_modality_status（默认pass）决定"
1,quality_labels_missing,"minor（触发即warning）","metadata.quality不是dict，或quality.labels不是非空list"
2,duration_under_5s,"critical（触发即fail）","duration_seconds为正数且duration_seconds < 5.0秒"
2,duration_not_positive,"critical（触发即fail）","duration_seconds缺失、非数字或<=0"
2,total_frames_not_positive,"critical（触发即fail）","total_frames无法转换为int(float(value))后>0，或值为bool"
2,duration_frames_fps_inconsistent,"major（触发即fail）","abs(total_frames - duration_seconds * fps) / (duration_seconds * fps) > 0.10；fps优先使用fps_actual，若非正数则使用fps_config"
2,timestamps_unreadable,"major（触发即fail）","image modality目录中的timestamps.csv无法读取或解析；image modality为observation.image.*且不含observation.image.flow_*"
2,timestamps_row_count_mismatch,"major（触发即fail）","abs(timestamps.csv数据行数 - metadata.total_frames) / metadata.total_frames > 0.10"
2,state_csv_row_count_mismatch,"minor（触发即warning）","非tactile的observation.state.*目录中data.csv可读，且abs(data.csv数据行数 - duration_seconds * fps) / (duration_seconds * fps) > 0.15"
2,modality_frame_count_misaligned,"minor（spread为4到10帧时warning）；major（spread>10帧时needs_review）","metadata.modalities中至少2个非tactile modality有frames或rows计数；spread=max_count-min_count；pass条件为spread<=3，warning为3<spread<=10，needs_review为spread>10"
2,duration_task_outlier,"minor（触发即needs_review）","同task组episode数量>=5且IQR>0，abs(duration - median) / IQR > 3.0"
2,duration_absolute_too_short,"major（ratio<0.20时fail）；minor（0.20<=ratio<0.40时needs_review）","同task组episode数量>=3且median>0；ratio=duration/task_median；ratio<0.20触发fail，0.20<=ratio<0.40触发needs_review"
2,duration_absolute_too_long,"minor（触发即needs_review）","同task组episode数量>=3且median>0；ratio=duration/task_median；ratio > 2.50"
3,timestamps_unreadable,"major（触发即fail）","timestamp源文件缺失、无法读取或无法解析；当前只选择observation.image.*且不含observation.image.flow_*"
3,timestamps_not_monotonic,"minor（0<比例<0.01时warning）；major（0.01<=比例<0.05时needs_review）；major（比例>=0.05时fail）","violation_ratio=相邻timestamp_ms中current<=previous的次数 / timestamp数量；比例>0触发，阈值为0.01和0.05"
3,duplicate_timestamps,"minor（0<比例<0.01时warning）；major（0.01<=比例<0.05时needs_review）；major（比例>=0.05时fail）","duplicate_ratio=(timestamp数量 - unique timestamp数量) / timestamp数量；比例>0触发，阈值为0.01和0.05"
3,timestamp_large_gap,"minor（gap_ratio>5.0且<=20.0时warning）；major（gap_ratio>20.0时fail）","max_gap > 5.0 * median_interval触发warning；max_gap > 20.0 * median_interval触发fail；该逻辑存在于代码中，但当前_timestamp_modalities只选择image modality，因此正常路径下不会触发"
3,frame_drop_ratio,"major（触发即fail）","drop_ratio=total_drops/frame_count；普通image modality要求drop_ratio > 配置项phase3_timestamp.frame_drops.normal_video_drop_ratio_fail（默认0.10）；tactile image modality要求drop_ratio > 配置项phase3_timestamp.frame_drops.tactile_video_drop_ratio_fail（默认0.15）"
3,frame_drop_consecutive,"major（触发即fail）","max_consecutive_drops >= 配置项phase3_timestamp.frame_drops.max_consecutive_fail（默认25）"
3,abnormal_fps_loss,"major（触发即fail）","loss_ratio=max(0,(expected_fps-actual_fps)/expected_fps) > 配置项phase3_timestamp.abnormal_fps.loss_fail_ratio（默认0.10）"
3,abnormal_fps_gain,"minor（触发即warning）","gain_ratio=max(0,(actual_fps-expected_fps)/expected_fps) > 配置项phase3_timestamp.abnormal_fps.gain_warning_ratio（默认0.10）"
3,timestamps_raw_inconsistency,"minor（触发即warning）","timestamps.csv和timestamps_raw.csv均存在且行数可读，processed_rows>0，abs(raw_rows - processed_rows) > 2"
3,modality_alignment_start,"major（触发即fail）","至少2个modality有可读timestamp跨度；各modality首个timestamp_ms的spread > ALIGNMENT_THRESHOLD_MS（500.0毫秒）"
3,modality_alignment_end,"major（触发即fail）","至少2个modality有可读timestamp跨度；各modality最后一个timestamp_ms的spread > ALIGNMENT_THRESHOLD_MS（500.0毫秒）"
3,consecutive_drops_outlier,"major（组大小>=5且超过IQR阈值时needs_review）；minor（组大小<5且超过固定阈值时warning）","按task+robot+modality分组；若组大小>=5且IQR>0，value=max_consecutive_drops > median + 3.0 * IQR；若组大小<5，value >= 配置项phase3_timestamp.frame_drops.max_consecutive_warn（默认10）"
4,video_not_openable,"critical（触发即fail）","video.mp4无法被OpenCV VideoCapture打开"
4,video_frame_count_unreadable,"major（触发即fail）","OpenCV读取到的frame_count <= 0"
4,video_frame_count_mismatch,"major（触发即fail）","metadata.total_frames存在且abs(video_frames - metadata_frames) / metadata_frames > 0.10"
4,video_duration_mismatch,"minor（触发即warning）","frame_count>0、fps>0且metadata.duration_seconds存在；abs(frame_count/fps - metadata_duration) / metadata_duration > 0.10"
4,video_resolution_mismatch,"minor（触发即warning）","存在期望分辨率且实际width/height不完全相等；但若width==expected_width且height>=expected_height，则按letterboxing通过"
4,video_black_frames,"critical（combined_bad_frame_count > sampled_count/2时fail）；major（否则needs_review）","采样帧中至少1帧灰度平均亮度 < 5.0；combined_bad_frame_count=black_frame_count+white_frame_count"
4,video_white_frames,"critical（combined_bad_frame_count > sampled_count/2时fail）；major（否则needs_review）","采样帧中至少1帧灰度平均亮度 > 250.0；combined_bad_frame_count=black_frame_count+white_frame_count"
4,video_frozen,"major（触发即fail）","采样到至少2帧且所有相邻采样帧的平均绝对灰度差 < 1.0"
4,both_wrist_views_still,"major（触发即fail）","仅robot.lower()=='arx5'且left/right wrist_view均有采样帧；两个camera都满足still_count/相邻帧对数 > 0.80，其中still定义为平均帧差 < 5.0"
5,robot_config_fallback,"info（触发即pass）","state.robot不在ROBOT_CONFIGS中，使用arx5默认配置"
5,csv_not_parseable,"critical（触发即fail）","data.csv文件存在但无法读取、解析或没有header"
5,joint_columns_not_detected,"info（触发即pass）","CSV header中未检测到关节列；ARX列为left_j*/right_j*，Flexiv列为j*或joint_*.pos"
5,joint_nan_inf,"critical（触发即fail）","被检查的joint/gripper/velocity列中任一值为NaN、Inf或无法解析为float"
5,timestamps_missing_or_unparseable,"major（触发即fail）","timestamp_ms列缺失，或没有任何可解析的有限数值"
5,timestamps_not_monotonic,"minor（0<比例<0.01时warning）；major（0.01<=比例<0.05时needs_review）；major（比例>=0.05时fail）","violation_ratio=相邻timestamp_ms中current<=previous的次数 / timestamp数量；比例>0触发，阈值为0.01和0.05"
5,joint_out_of_limits,"minor（触发即needs_review）","任一joint值 < robot配置joint_limits_rad下限 - LIMIT_TOLERANCE（0.003），或 > 上限 + LIMIT_TOLERANCE（0.003）；arx5默认(-3.46,4.25)，flexiv/aloha默认(-6.2832,6.2832)"
5,gripper_out_of_limits,"minor（触发即needs_review）","任一gripper值 < robot配置gripper_limits_m下限 - 0.003，或 > 上限 + 0.003；配置项phase5_robot_state.robots.arx5.gripper_limits_m默认[0.0,0.082]，aloha默认[0.0,0.1]，flexiv代码默认(0.0,0.10)"
5,gripper_mean_too_low_remap_needed,"minor（触发即needs_review）","某gripper列有限值均值 < 配置项phase5_robot_state.gripper.mean_remap_threshold_m（默认0.005）"
5,joint_step_too_large,"minor（触发即needs_review）","相邻joint值绝对差 > robot配置max_joint_step_rad；arx5默认0.15，flexiv/aloha默认0.3"
5,gripper_step_too_large,"minor（触发即needs_review）","相邻gripper值绝对差 > robot配置max_gripper_step_m；arx5默认0.015，flexiv/aloha默认0.05"
5,joint_velocity_exceeded,"minor（触发即needs_review）","p99(abs(velocity)) > robot配置max_joint_velocity_rad_s；arx5默认4.5，flexiv/aloha默认2.5；阈值应用于p99而不是max"
5,joint_acceleration_high,"minor（触发即warning）","p99(abs(acceleration)) > robot配置max_acceleration_rad_s2；arx5/flexiv/aloha默认50.0"
5,jitter_high,"minor（score>=warn且<fail时warning）；major（score>=fail时fail）","jitter_score为有限值与居中moving average的平均绝对残差；使用robot配置jitter_smooth_window默认5；warn阈值jitter_score_warn默认0.01，fail阈值jitter_score_fail默认0.05"
5,operator_standstill,"minor（触发即warning）","连续静止segment的duration_ms > STANDSTILL_BUFFER_MS（5000）；静止定义为所有非gripper joint列相邻差值 < robot配置static_motion_threshold_rad（默认0.001）"
5,operator_standstill_excessive,"major（触发即needs_review）","total_excess/episode_duration > 0.20，其中total_excess=sum(segment.duration_ms - 5000)"
5,eef_position_step_too_large,"minor（触发即needs_review）","EEF位置相邻欧氏距离step > robot配置max_eef_position_step_m；arx5/flexiv/aloha默认0.05"
6,umi_processing_disabled,"info（触发即pass）","配置项phase6_umi_processing.enabled（默认True）为False"
6,umi_not_applicable,"info（触发即pass）","episode未被识别为UMI；识别依据为配置项phase6_umi_processing.umi_tokens（默认['umi']）匹配metadata.robot、episode名robot、state.robot、task/path token，或配置项required_modalities（当前默认[]）全部存在"
6,umi_processing_error,"critical（触发即fail）","UMI处理抛出异常，或处理结果status既不是passed也不是rejected"
6,umi_processed_repaired,"minor（状态由配置决定）","UMI处理status为passed，且preprocess operations存在并且不等于['passthrough']；finding status使用配置项phase6_umi_processing.status_for_repaired（默认warning）"
6,umi_processed_passed,"info（触发即pass）","UMI处理status为passed，且无修复操作或operations==['passthrough']"
6,umi_trajectory_gate_rejected,"major（状态由配置决定）","配置项phase6_umi_processing.trajectory_first_gate（默认True）启用，smooth_assessment返回trajectory_label.code不在配置项phase6_umi_processing.trajectory_pass_labels（默认['smooth']）中；finding status使用phase6_umi_processing.trajectory_nonpass_status（默认fail）"
6,umi_processing_rejected,"major（触发即fail）","assessment gate存在blocking问题，或preprocess失败且category=='reject'，或preprocess kept_frames==0，或preprocess返回category=='reject'"
7,standstill_motion_source_missing,"minor（触发即warning）","配置项phase7_standstill.source_modalities（默认observation.state.joint_position、actions.joint_position、observation.state.eef_pose、actions.eef_pose、action.eef_pose）中没有任何存在且可用的data.csv运动源"
7,standstill_motion_source_invalid,"major（触发即needs_review）","已加载motion source但duration_ms<=0；通常表示少于2个严格递增的可用timestamp_ms"
7,operator_standstill_leading,"info（duration<5000时pass）；minor（5000<=duration<10000时warning）；major（10000<=duration<30000时needs_review）；major（duration>=30000时fail）","segment位置为leading，即stop_start_ms <= first_ts + 配置项phase7_standstill.edge_tolerance_ms（默认1000）；segment只在duration_ms > 配置项phase7_standstill.stillness_buffer_ms（默认5000）时生成；分档阈值来自warn_segment_ms默认5000、review_segment_ms默认10000、fail_segment_ms默认30000"
7,operator_standstill_middle,"info（duration<5000时pass）；minor（5000<=duration<10000时warning）；major（10000<=duration<30000时needs_review）；major（duration>=30000时fail）","segment位置为middle，即既不是leading也不是trailing；segment只在duration_ms > 配置项phase7_standstill.stillness_buffer_ms（默认5000）时生成；分档阈值来自warn_segment_ms默认5000、review_segment_ms默认10000、fail_segment_ms默认30000"
7,operator_standstill_trailing,"info（duration<5000时pass）；minor（5000<=duration<10000时warning）；major（10000<=duration<30000时needs_review）；major（duration>=30000时fail）","segment位置为trailing，即stop_end_ms >= last_ts - 配置项phase7_standstill.edge_tolerance_ms（默认1000）；segment只在duration_ms > 配置项phase7_standstill.stillness_buffer_ms（默认5000）时生成；分档阈值来自warn_segment_ms默认5000、review_segment_ms默认10000、fail_segment_ms默认30000"
7,operator_standstill_motion_too_short,"critical（触发即fail）","存在至少1个standstill segment且useful_motion_ms < 配置项phase7_standstill.min_useful_motion_ms（默认5000）"
7,operator_standstill_excessive,"major（0.20<=excess_ratio<0.40时needs_review）；critical（excess_ratio>=0.40时fail）","excess_ratio=total_excess_ms/duration_ms；needs_review条件为excess_ratio >= 配置项phase7_standstill.review_excess_ratio（默认0.20）；fail条件为excess_ratio >= 配置项phase7_standstill.fail_excess_ratio（默认0.40）"
